Time[ms], WallSen FL, WallSen L, WallSen R, WallSen FR, Machine V, Mot V L, Mot V R, Mot V LR, Machine Angular, Mot Angular, IMU Angular Z, Machine Angle, Mot Angle, IMU Angle, Mot Distance X, Mot Distance Y, IMU Global Angle, IMU V
40 ,434 ,261 ,33 ,214 ,1200 ,940.768494 ,831.012207 ,885.890320 ,1001.062500 ,98.258972 ,412.012207 ,0.000000 ,26.164963 ,9.359330 ,5.737966 ,31.523439 ,8.355976 ,-307.207031
41 ,430 ,284 ,33 ,219 ,1200 ,1050.524780 ,595.820068 ,823.172424 ,1026.089111 ,407.072876 ,399.329285 ,0.000000 ,26.572035 ,9.758659 ,6.106190 ,32.259663 ,8.755305 ,-354.915039
42 ,427 ,289 ,33 ,217 ,1200 ,1207.319580 ,454.704773 ,831.012207 ,1031.323975 ,673.775818 ,391.646362 ,0.000000 ,27.245811 ,10.150306 ,6.486635 ,32.998474 ,9.146952 ,-381.759766
43 ,427 ,289 ,33 ,217 ,1200 ,1332.755371 ,250.871597 ,791.813477 ,1031.323975 ,968.552734 ,383.414642 ,0.000000 ,28.214363 ,10.533720 ,6.860982 ,33.696209 ,9.530367 ,-403.867188
44 ,426 ,292 ,36 ,217 ,1200 ,1411.152710 ,109.756325 ,760.454529 ,1031.323975 ,1165.070679 ,383.780487 ,0.000000 ,29.379435 ,10.917500 ,7.234054 ,34.358860 ,9.914147 ,-421.380859
45 ,425 ,291 ,36 ,220 ,1200 ,1505.229614 ,-78.397377 ,713.416138 ,1031.323975 ,1417.736572 ,400.426849 ,0.000000 ,30.797171 ,11.317927 ,7.599323 ,34.971672 ,10.314574 ,-398.938477
46 ,431 ,285 ,39 ,223 ,1200 ,1536.588501 ,-109.756325 ,713.416138 ,1031.323975 ,1473.884644 ,414.268311 ,0.000000 ,32.271057 ,11.732196 ,7.980234 ,35.574890 ,10.728842 ,-397.359375
47 ,436 ,274 ,40 ,220 ,1200 ,1630.665405 ,62.717899 ,846.691650 ,1031.323975 ,1403.699585 ,440.304901 ,0.000000 ,33.674755 ,12.172501 ,8.449706 ,36.279507 ,11.169147 ,-387.310547
48 ,436 ,274 ,40 ,220 ,1200 ,1614.985962 ,235.192123 ,925.089050 ,1031.323975 ,1235.255615 ,462.134155 ,0.000000 ,34.910011 ,12.634635 ,8.979124 ,37.038128 ,11.631281 ,-366.686523
49 ,443 ,272 ,42 ,223 ,1200 ,1348.434814 ,407.666351 ,878.050598 ,1031.323975 ,842.219788 ,474.207336 ,0.000000 ,35.752232 ,13.108843 ,9.492153 ,37.750710 ,12.105489 ,-364.389648
50 ,452 ,276 ,44 ,225 ,1200 ,1222.999023 ,548.781616 ,885.890320 ,1031.323975 ,603.590820 ,493.231720 ,0.000000 ,36.355824 ,13.602075 ,10.017307 ,38.464161 ,12.598721 ,-366.160156
51 ,459 ,282 ,44 ,223 ,1200 ,1254.358032 ,705.576355 ,979.967163 ,1031.323975 ,491.294861 ,506.219513 ,0.000000 ,36.847118 ,14.108294 ,10.604976 ,39.248371 ,13.104940 ,-400.134766
52 ,459 ,282 ,44 ,223 ,1200 ,1144.601685 ,831.012207 ,987.806946 ,1031.323975 ,280.739929 ,511.219513 ,0.000000 ,37.127857 ,14.619514 ,11.201212 ,40.035938 ,13.616159 ,-468.083984
53 ,470 ,289 ,45 ,223 ,1200 ,1270.037476 ,862.371155 ,1066.204346 ,1031.323975 ,364.961914 ,500.182953 ,0.000000 ,37.492817 ,15.119697 ,11.850170 ,40.881897 ,14.116343 ,-576.850586
54 ,474 ,304 ,47 ,224 ,1200 ,1364.114380 ,611.499512 ,987.806946 ,1031.323975 ,673.775818 ,478.841461 ,0.000000 ,38.166595 ,15.598537 ,12.460586 ,41.658527 ,14.595184 ,-728.827148
55 ,479 ,325 ,43 ,230 ,1200 ,1442.511719 ,423.345825 ,932.928772 ,1031.323975 ,912.404724 ,469.512207 ,0.000000 ,39.078999 ,16.068050 ,13.048696 ,42.382740 ,15.064696 ,-880.995117
56 ,491 ,335 ,49 ,228 ,1200 ,1473.870605 ,266.551086 ,870.210876 ,1031.323975 ,1080.848755 ,475.487823 ,0.000000 ,40.159847 ,16.543537 ,13.609914 ,43.047798 ,15.540184 ,-1023.879883
57 ,491 ,335 ,49 ,228 ,1200 ,1520.909058 ,125.435799 ,823.172424 ,1031.323975 ,1249.292603 ,506.951233 ,0.000000 ,41.409142 ,17.050489 ,14.154386 ,43.665180 ,16.047134 ,-1153.940430
58 ,495 ,343 ,47 ,223 ,1200 ,1442.511719 ,109.756325 ,776.134033 ,1031.323975 ,1193.144653 ,559.390259 ,0.000000 ,42.602287 ,17.609879 ,14.679755 ,44.236469 ,16.606525 ,-1236.580078
59 ,499 ,368 ,49 ,224 ,1200 ,1175.960571 ,329.268982 ,752.614807 ,1031.323975 ,757.997803 ,611.524414 ,0.000000 ,43.360283 ,18.221403 ,15.196488 ,44.783661 ,17.218050 ,-1268.688477
60 ,503 ,384 ,49 ,218 ,1200 ,925.089050 ,517.422668 ,721.255859 ,1031.323975 ,364.961914 ,649.207336 ,0.000000 ,43.725246 ,18.870611 ,15.695021 ,45.304882 ,17.867258 ,-1298.117188
61 ,503 ,384 ,49 ,218 ,1200 ,752.614807 ,689.896912 ,721.255859 ,1031.323975 ,56.147984 ,661.402466 ,0.000000 ,43.781395 ,19.532013 ,16.194065 ,45.825619 ,18.528660 ,-1371.425781
62 ,508 ,402 ,48 ,215 ,1200 ,721.255859 ,846.691650 ,783.973755 ,1031.323975 ,-112.295967 ,652.804871 ,0.000000 ,43.669098 ,20.184818 ,16.735392 ,46.392700 ,19.181465 ,-1480.048828
63 ,512 ,415 ,47 ,206 ,1200 ,846.691650 ,878.050598 ,862.371155 ,1031.323975 ,-28.073992 ,631.707336 ,0.000000 ,43.641022 ,20.816526 ,17.330547 ,47.016777 ,19.813171 ,-1581.207031
64 ,518 ,449 ,50 ,214 ,1200 ,1019.165894 ,627.179016 ,823.172424 ,1031.323975 ,350.924896 ,602.195129 ,0.000000 ,43.991947 ,21.418720 ,17.902288 ,47.608997 ,20.415367 ,-1682.700195
65 ,523 ,459 ,49 ,202 ,1200 ,1175.960571 ,423.345825 ,799.653198 ,1031.323975 ,673.775818 ,568.109741 ,0.000000 ,44.665726 ,21.986832 ,18.464420 ,48.177731 ,20.983477 ,-1794.194336
66 ,523 ,459 ,49 ,202 ,1200 ,1317.075928 ,250.871597 ,783.973755 ,1031.323975 ,954.515747 ,549.268311 ,0.000000 ,45.620239 ,22.536098 ,19.024740 ,48.726048 ,21.532745 ,-1876.929688
67 ,533 ,472 ,53 ,198 ,1200 ,1458.191162 ,94.076851 ,776.134033 ,1031.323975 ,1221.218628 ,535.000000 ,0.000000 ,46.841457 ,23.071098 ,19.590902 ,49.256939 ,22.067745 ,-1948.515625
68 ,538 ,493 ,52 ,193 ,1200 ,1536.588501 ,-47.038425 ,744.775085 ,1031.323975 ,1417.736572 ,543.963440 ,0.000000 ,48.259193 ,23.615063 ,20.146627 ,49.752781 ,22.611710 ,-1997.754883
69 ,546 ,511 ,53 ,185 ,1200 ,1583.626953 ,-78.397377 ,752.614807 ,1031.323975 ,1487.921631 ,564.634155 ,0.000000 ,49.747116 ,24.179697 ,20.721024 ,50.239094 ,23.176344 ,-2013.976562
70 ,546 ,511 ,53 ,185 ,1200 ,1520.909058 ,94.076851 ,807.492981 ,1031.323975 ,1277.366699 ,588.353699 ,0.000000 ,51.024483 ,24.768051 ,21.348780 ,50.746998 ,23.764696 ,-2045.175781
71 ,550 ,531 ,55 ,185 ,1200 ,1254.358032 ,297.910034 ,776.134033 ,1031.323975 ,856.256775 ,632.804871 ,0.000000 ,51.880741 ,25.400856 ,21.959385 ,51.226105 ,24.397501 ,-2068.862305
72 ,554 ,550 ,55 ,181 ,1200 ,1050.524780 ,486.063721 ,768.294250 ,1031.323975 ,505.331848 ,673.963440 ,0.000000 ,52.386074 ,26.074820 ,22.567984 ,51.695023 ,25.071465 ,-2086.375977
73 ,557 ,576 ,56 ,174 ,1200 ,783.973755 ,658.537964 ,721.255859 ,1031.323975 ,112.295967 ,689.878052 ,0.000000 ,52.498367 ,26.764696 ,23.140182 ,52.134113 ,25.761343 ,-2156.382812
74 ,557 ,576 ,56 ,174 ,1200 ,674.217407 ,799.653198 ,736.935303 ,1031.323975 ,-112.295967 ,689.817078 ,0.000000 ,52.386074 ,27.454514 ,23.723938 ,52.583893 ,26.451160 ,-2271.226562
75 ,561 ,597 ,60 ,171 ,1200 ,595.820068 ,846.691650 ,721.255859 ,1031.323975 ,-224.591934 ,672.134155 ,0.000000 ,52.161480 ,28.126648 ,24.293545 ,53.026337 ,27.123295 ,-2417.078125
76 ,575 ,628 ,71 ,175 ,1200 ,752.614807 ,564.461121 ,658.537964 ,1031.323975 ,168.443954 ,655.365845 ,0.000000 ,52.329926 ,28.782015 ,24.814806 ,53.428780 ,27.778660 ,-2523.930664
77 ,568 ,658 ,68 ,168 ,1200 ,909.409546 ,344.948456 ,627.179016 ,1031.323975 ,505.331848 ,631.402466 ,0.000000 ,52.835255 ,29.413416 ,25.314606 ,53.807663 ,28.410063 ,-2603.077148
78 ,575 ,690 ,72 ,163 ,1200 ,1034.845337 ,172.474228 ,603.659790 ,1031.323975 ,772.034790 ,593.902466 ,0.000000 ,53.607292 ,30.007318 ,25.800533 ,54.165825 ,29.003965 ,-2712.561523
79 ,575 ,690 ,72 ,163 ,1200 ,1207.319580 ,15.679475 ,611.499512 ,1031.323975 ,1066.811768 ,567.500000 ,0.000000 ,54.674103 ,30.574820 ,26.299442 ,54.519409 ,29.571465 ,-2826.783203
80 ,581 ,732 ,83 ,162 ,1200 ,1364.114380 ,-156.794754 ,603.659790 ,1031.323975 ,1361.588623 ,568.048767 ,0.000000 ,56.035690 ,31.142868 ,26.800108 ,54.856663 ,30.139515 ,-2897.938477
81 ,583 ,780 ,89 ,158 ,1200 ,1426.832275 ,-282.230560 ,572.300842 ,1031.323975 ,1530.032593 ,576.707336 ,0.000000 ,57.565723 ,31.719576 ,27.283134 ,55.163605 ,30.716221 ,-2916.361328
82 ,584 ,806 ,96 ,154 ,1200 ,1520.909058 ,-297.910034 ,611.499512 ,1031.323975 ,1628.291504 ,582.621948 ,0.000000 ,59.194016 ,32.302197 ,27.808355 ,55.476772 ,31.298843 ,-2963.590820
83 ,584 ,806 ,96 ,154 ,1200 ,1552.268066 ,-109.756325 ,721.255859 ,1031.323975 ,1487.921631 ,609.451233 ,0.000000 ,60.681938 ,32.911648 ,28.437229 ,55.829941 ,31.908295 ,-3014.169922
84 ,585 ,820 ,102 ,146 ,1200 ,1536.588501 ,62.717899 ,799.653198 ,1031.323975 ,1319.477661 ,646.524414 ,0.000000 ,62.001415 ,33.558174 ,29.143291 ,56.205338 ,32.554821 ,-3039.004883
85 ,581 ,858 ,95 ,146 ,1200 ,1301.396484 ,266.551086 ,783.973755 ,1031.323975 ,926.441772 ,681.890259 ,0.000000 ,62.927856 ,34.240063 ,29.841368 ,56.562134 ,33.236710 ,-3062.452148
86 ,589 ,888 ,112 ,144 ,1200 ,1066.204346 ,454.704773 ,760.454529 ,1031.323975 ,547.442871 ,706.097595 ,0.000000 ,63.475300 ,34.946159 ,30.521778 ,56.901741 ,33.942806 ,-3084.224609
87 ,589 ,888 ,112 ,144 ,1200 ,831.012207 ,611.499512 ,721.255859 ,1031.323975 ,196.517944 ,713.658569 ,0.000000 ,63.671818 ,35.659821 ,31.168217 ,57.221626 ,34.656467 ,-3154.422852
88 ,591 ,911 ,110 ,136 ,1200 ,799.653198 ,752.614807 ,776.134033 ,1031.323975 ,42.110989 ,704.573181 ,0.000000 ,63.713928 ,36.364391 ,31.864094 ,57.565342 ,35.361038 ,-3286.349609
89 ,587 ,941 ,104 ,133 ,1200 ,956.447998 ,783.973755 ,870.210876 ,1031.323975 ,154.406952 ,677.865845 ,0.000000 ,63.868336 ,37.042259 ,32.645355 ,57.948612 ,36.038906 ,-3439.091797
90 ,587 ,964 ,99 ,130 ,1200 ,1113.242676 ,517.422668 ,815.332703 ,1031.323975 ,533.405884 ,640.487793 ,0.000000 ,64.401741 ,37.682747 ,33.380661 ,58.300884 ,36.679394 ,-3619.731445
91 ,587 ,964 ,99 ,130 ,1200 ,1270.037476 ,313.589508 ,791.813477 ,1031.323975 ,856.256775 ,601.646362 ,0.000000 ,65.257996 ,38.284393 ,34.099789 ,58.632282 ,37.281040 ,-3795.968750
92 ,589 ,988 ,93 ,126 ,1200 ,1395.473267 ,141.115280 ,768.294250 ,1031.323975 ,1122.959717 ,580.060974 ,0.000000 ,66.380959 ,38.864452 ,34.803722 ,58.940102 ,37.861099 ,-3914.305664
93 ,588 ,1010 ,86 ,122 ,1200 ,1458.191162 ,-15.679475 ,721.255859 ,1031.323975 ,1319.477661 ,574.695129 ,0.000000 ,67.700439 ,39.439148 ,35.471035 ,59.213783 ,38.435795 ,-4017.042969
94 ,587 ,1057 ,80 ,117 ,1200 ,1473.870605 ,-125.435799 ,674.217407 ,1031.323975 ,1431.773560 ,597.865845 ,0.000000 ,69.132210 ,40.037014 ,36.101028 ,59.453949 ,39.033661 ,-4107.243164
95 ,583 ,1100 ,75 ,115 ,1200 ,1395.473267 ,-156.794754 ,619.339294 ,1031.323975 ,1389.662598 ,649.695129 ,0.000000 ,70.521873 ,40.686710 ,36.684921 ,59.660465 ,39.683357 ,-4141.361328
96 ,583 ,1100 ,75 ,115 ,1200 ,1144.601685 ,47.038425 ,595.820068 ,1031.323975 ,982.589722 ,702.804871 ,0.000000 ,71.504463 ,41.389515 ,37.249966 ,59.849476 ,40.386162 ,-4142.749023
97 ,576 ,1144 ,71 ,110 ,1200 ,909.409546 ,266.551086 ,587.980286 ,1031.323975 ,575.516846 ,736.158569 ,0.000000 ,72.079979 ,42.125675 ,37.809422 ,60.030392 ,41.122318 ,-4145.141602
98 ,568 ,1236 ,68 ,104 ,1200 ,768.294250 ,439.025299 ,603.659790 ,1031.323975 ,294.776917 ,747.682922 ,0.000000 ,72.374756 ,42.873356 ,38.384747 ,60.213173 ,41.870003 ,-4199.644531
99 ,564 ,1321 ,66 ,102 ,1200 ,674.217407 ,595.820068 ,635.018738 ,1031.323975 ,70.184982 ,745.243896 ,0.000000 ,72.444939 ,43.618599 ,38.990189 ,60.404709 ,42.615246 ,-4299.319336
100 ,564 ,1321 ,66 ,102 ,1200 ,799.653198 ,642.858459 ,721.255859 ,1031.323975 ,140.369965 ,734.390259 ,0.000000 ,72.585312 ,44.352989 ,39.678387 ,60.620571 ,43.349636 ,-4405.501953
101 ,553 ,1429 ,65 ,101 ,1200 ,956.447998 ,439.025299 ,697.736633 ,1031.323975 ,463.220886 ,716.768311 ,0.000000 ,73.048531 ,45.069759 ,40.345806 ,60.824005 ,44.066406 ,-4517.283203
102 ,548 ,1591 ,64 ,98 ,1200 ,1097.563232 ,235.192123 ,666.377686 ,1031.323975 ,772.034790 ,700.548767 ,0.000000 ,73.820564 ,45.770309 ,40.985790 ,61.009689 ,44.766953 ,-4606.526367
103 ,539 ,1709 ,64 ,91 ,1200 ,1222.999023 ,62.717899 ,642.858459 ,1031.323975 ,1038.737671 ,679.939026 ,0.000000 ,74.859306 ,46.450249 ,41.606335 ,61.177597 ,45.446892 ,-4683.854492
104 ,539 ,1709 ,64 ,91 ,1200 ,1348.434814 ,-78.397377 ,635.018738 ,1031.323975 ,1277.366699 ,665.731750 ,0.000000 ,76.136673 ,47.115978 ,42.222855 ,61.329754 ,46.112625 ,-4783.625000
105 ,541 ,1828 ,78 ,90 ,1200 ,1411.152710 ,-219.512650 ,595.820068 ,1031.323975 ,1459.847656 ,670.792725 ,0.000000 ,77.596519 ,47.786770 ,42.804768 ,61.457729 ,46.783417 ,-4847.793945
106 ,521 ,1969 ,61 ,83 ,1200 ,1426.832275 ,-250.871597 ,587.980286 ,1031.323975 ,1501.958618 ,696.951233 ,0.000000 ,79.098480 ,48.483723 ,43.382137 ,61.568932 ,47.480370 ,-4870.619141
107 ,512 ,2026 ,62 ,75 ,1200 ,1364.114380 ,-31.358950 ,666.377686 ,1031.323975 ,1249.292603 ,741.829285 ,0.000000 ,80.347771 ,49.225552 ,44.039082 ,61.680660 ,48.222198 ,-4905.072266
108 ,512 ,2026 ,62 ,75 ,1200 ,1097.563232 ,172.474228 ,635.018738 ,1031.323975 ,828.182800 ,795.670776 ,0.000000 ,81.175949 ,50.021221 ,44.666584 ,61.778072 ,49.017868 ,-4949.239258
109 ,498 ,2043 ,61 ,69 ,1200 ,846.691650 ,407.666351 ,627.179016 ,1031.323975 ,393.035889 ,834.939026 ,0.000000 ,81.568985 ,50.856163 ,45.286987 ,61.870029 ,49.852810 ,-4987.376953
110 ,492 ,2000 ,62 ,66 ,1200 ,689.896912 ,548.781616 ,619.339294 ,1031.323975 ,126.332962 ,847.621948 ,0.000000 ,81.695320 ,51.703785 ,45.899830 ,61.959484 ,50.700432 ,-5082.697266
111 ,484 ,1864 ,61 ,60 ,1200 ,517.422668 ,721.255859 ,619.339294 ,1031.323975 ,-182.480957 ,830.731750 ,0.000000 ,81.512840 ,52.534515 ,46.512386 ,62.050892 ,51.531162 ,-5277.596680
112 ,481 ,1744 ,61 ,56 ,1200 ,501.743195 ,658.537964 ,580.140564 ,1031.323975 ,-140.369965 ,800.182922 ,0.000000 ,81.372467 ,53.334698 ,47.085964 ,62.137920 ,52.331345 ,-5455.078125
113 ,481 ,1744 ,61 ,56 ,1200 ,736.935303 ,439.025299 ,587.980286 ,1031.323975 ,266.702942 ,753.475647 ,0.000000 ,81.639175 ,54.088173 ,47.667694 ,62.223415 ,53.084820 ,-5613.323242
114 ,472 ,1630 ,58 ,54 ,1200 ,956.447998 ,235.192123 ,595.820068 ,1031.323975 ,645.701843 ,697.134155 ,0.000000 ,82.284874 ,54.785309 ,48.258121 ,62.303402 ,53.781956 ,-5789.464844
115 ,456 ,1529 ,50 ,58 ,1200 ,1144.601685 ,47.038425 ,595.820068 ,1031.323975 ,982.589722 ,638.414673 ,0.000000 ,83.267464 ,55.423725 ,48.849834 ,62.373253 ,54.420368 ,-5940.197266
